Nombre del programa ac adémico al que pertenece el estudiante de la UD,Facultad,Categoría de la Movilidad,País de destino,"Nombre de la IES, Institución o Empresa de destino",Presupuesto asignado,Acto administrativo del apoyo a la movilidad (Resolución - Contrato u otro)
Matemáticas,Ciencias y Educación,Semestre académico,México,Instituto Politécnico Nacional de México,$4.000.000,Resolución de Rectoría No. 118 de 2017
Lic. Ciencias Sociales,Ciencias y Educación,Semestre académico,México,Universidad Autónoma Metropolitana (México),N/A, N/A 
Lic. Química,Ciencias y Educación,Semestre académico,México,Universidad Autónoma Metropolitana (México),N/A, N/A 
Lic. Ciencias Sociales,Ciencias y Educación,Semestre académico,México,Universidad Autónoma Metropolitana (México),N/A, N/A 
Lic. Química,Ciencias y Educación,Semestre académico,Chile,Universidad Católica de la Santísima Concepción (Chile),$4.000.000,Resolución de Rectoría No. 118 de 2017
Lic. Química,Ciencias y Educación,Semestre académico,Chile,Universidad Católica de la Santísima Concepción (Chile),N/A, N/A 
Lic. Química,Ciencias y Educación,Semestre académico,Chile,Universidad Católica de la Santísima Concepción (Chile),N/A, N/A 
Lic. Lengua Castellana,Ciencias y Educación,Semestre académico,Chile,Universidad de Bio - Bio (Chile),N/A, N/A 
Lic. Ciencias Sociales,Ciencias y Educación,Semestre académico,Colombia,Universidad Santo Tomás,N/A, N/A 
Lic. Pedagogía Infantil,Ciencias y Educación,Semestre académico,México,Universidad Pedagógica Nacional (México),$4.000.000,Resolución de Rectoría No. 118 de 2017
Lic. Lengua Castellana,Ciencias y Educación,Semestre académico,México,Universidad de Guadalajara,N/A, N/A 
Lic. Artística,Ciencias y Educación,Semestre académico,Argentina,Universidad de Quilmes (Argentina),N/A, N/A 
Lic. Química,Ciencias y Educación,Semestre académico,México,Universidad Nacional Autónoma de México,N/A, N/A 
Lic. Química,Ciencias y Educación,Semestre académico,México,Universidad Nacional Autónoma de México,$4.000.000,Resolución de Rectoría No. 118 de 2017
Lic. Química,Ciencias y Educación,Semestre académico,Argentina,Universidad Nacional de Santiago del Estero (Argentina), N/A , N/A 
Lic. Biología,Ciencias y Educación,Semestre académico,España,Universidad de Sevilla, N/A , N/A 
Lic. Biología,Ciencias y Educación,Semestre académico,España,Universidad de Sevilla,$5.500.000,Resolución de Rectoría No. 118 de 2017
Lic. Artística,Ciencias y Educación,Semestre académico,México,Universidad Autónoma de Querétaro, N/A , N/A 
Lic. Lengua Castellana,Ciencias y Educación,Semestre académico,México,Universidad Autónoma de Querétaro, N/A , N/A 
Lic. Artística,Ciencias y Educación,Semestre académico,México,Universidad Autónoma de Querétaro, N/A , N/A 
Lic. Lengua Castellana,Ciencias y Educación,Semestre académico,México,Universidad de Quintana Roo (México), N/A , N/A 
Lic. Biología,Ciencias y Educación,Semestre académico,Perú,Universidad Nacional Pedro Ruiz Gallo, N/A , N/A 
Lic. Biología,Ciencias y Educación,Semestre académico,Perú,Universidad Nacional Pedro Ruiz Gallo, N/A , N/A 
Lic. Biología,Ciencias y Educación,Semestre académico,Perú,Universidad Nacional Pedro Ruiz Gallo, N/A , N/A 
Lic. Biología,Ciencias y Educación,Semestre académico,México,Universidad de Ciencias y Artes de Chiapas UCACH, N/A , N/A 
Lic. Pedagogía Infantil,Ciencias y Educación,Semestre académico,Argentina,Universidad de Buenos Aires Facultad de Filosofía, N/A , N/A 
Lic. Inglés,Ciencias y Educación,Semestre académico,Canadá ,Université de Quebec,$4.000.000,Resolución de Rectoría No. 118 de 2017
Lic. Artística,Ciencias y Educación,Semestre académico,Colombia,Universidad Nacional de Colombia, N/A , N/A 
Lic. Sociales,Ciencias y Educación,Semestre académico,Colombia,Universidad Nacional de Colombia, N/A , N/A 
Lic. Inglés,Ciencias y Educación,Semestre académico,Colombia,Universidad Nacional de Colombia, N/A , N/A 
Lic. Sociales,Ciencias y Educación,Semestre académico,Colombia,Universidad Nacional de Colombia, N/A , N/A 
Lic. Biología,Ciencias y Educación,Semestre académico,Colombia,Universidad Nacional de Colombia, N/A , N/A 
Lic. Biología,Ciencias y Educación,Semestre académico,Colombia,Universidad Javeriana Facultad de Ciencias, N/A , N/A 
Lic. Biología,Ciencias y Educación,Semestre académico,Colombia,Universidad Javeriana Facultad de Ciencias, N/A , N/A 
Lic. Biología,Ciencias y Educación,Semestre académico,Perú,Universidad Jorge Basadre Grohmann, N/A , N/A 
Lic. Biología,Ciencias y Educación,Semestre académico,Perú,Universidad Jorge Basadre Grohmann, N/A , N/A 
Lic. Biología,Ciencias y Educación,Semestre académico,México,Universidad Autónoma Metropolitana (México), N/A , N/A 
Lic. Pedagogía Infantil,Ciencias y Educación,Semestre académico,México,Universidad Pedagógica Nacional (México),$4.000.000,Resolución de Rectoría No. 118 de 2017
Lic. Ciencias Sociales,Ciencias y Educación,Semestre académico,México,Universidad Autónoma Metropolitana (México), N/A , N/A 
Lic. Artística,Ciencias y Educación,Semestre académico,México,Universidad Autónoma de Querétaro, N/A , N/A 
Ingeniería Sanitaria,Medio Ambiente y Recursos Naturales,Semestre académico,Chile,Universidad Austral de Chile, N/A , N/A 
Ingeniería Sanitaria,Medio Ambiente y Recursos Naturales,Semestre académico,México,Universidad Autónoma Metropolitana (México),$4.000.000,Resolución de Rectoría No. 118 de 2017
Administración Ambiental,Medio Ambiente y Recursos Naturales,Semestre académico,Argentina,Universidad de Quilmes (Argentina), N/A , N/A 
Ingeniería Forestal,Medio Ambiente y Recursos Naturales,Semestre académico,Argentina,Universidad de La Plata,$5.000.000,Resolución de Rectoría No. 118 de 2017
Ingeniería Forestal,Medio Ambiente y Recursos Naturales,Semestre académico,Brasil,Universidad de Sao Paulo, N/A , N/A 
Administración Deportiva,Medio Ambiente y Recursos Naturales,Semestre académico,México,Universidad Nacional Autónoma de México,$4.000.000,Resolución de Rectoría No. 118 de 2017
Ing. Topográfica,Medio Ambiente y Recursos Naturales,Semestre académico,México,Universidad Nacional Autónoma de México, N/A , N/A 
Tec. Saneamiento Ambiental,Medio Ambiente y Recursos Naturales,Semestre académico,Argentina,Universidad Nacional de Santiago del Estero (Argentina), N/A , N/A 
Tec. Saneamiento Ambiental,Medio Ambiente y Recursos Naturales,Semestre académico,Argentina,Universidad Nacional del Litoral,$3.000.000,Resolución de Rectoría No. 118 de 2017
